State,State_code,District,District_code,Market_code,Market
Bihar,BI,Rohtas,17,10030,Kochas (Balthari)
Bihar,BI,Rohtas,17,1637,Natwar
Bihar,BI,Rohtas,17,804,Nokha
Bihar,BI,Rohtas,17,41,Sasaram
Bihar,BI,Rohtas,17,10029,Vikramganj
Bihar,BI,Saharsa,44,422,Saharsa
Bihar,BI,Samastipur,46,418,Saidpurhat
Bihar,BI,Samastipur,46,417,Samastipur
Bihar,BI,Samastipur,46,10032,Tajpur
Bihar,BI,Saran,47,10033,Sonpur
Bihar,BI,Sheikhpura,53,10034,Barbigha
Bihar,BI,Sheikhpura,53,1649,Shekhpura
Bihar,BI,Sheohar,54,10035,Sheohar
Bihar,BI,Sitamarhi,48,419,Sitamarhi
Bihar,BI,Siwan,18,10036,Maharjganj
Bihar,BI,Siwan,18,42,Siwan
Bihar,BI,Supaul,49,1645,Birpur
Bihar,BI,Supaul,49,1652,Supaul
Bihar,BI,Supaul,49,10037,Triveniganj
Bihar,BI,Vaishali,50,423,Hajipur
Bihar,BI,Vaishali,50,10039,"Jaitipir Mandi, Lalganj block"
Bihar,BI,Vaishali,50,10040,"Parsoniya Mandi, Mahua block"
Bihar,BI,Vaishali,50,10041,"Pateri Belchar Mandi, Bhagwanpur block"
Bihar,BI,West Chambaran,51,805,Bettiah
Bihar,BI,West Chambaran,51,1639,Narkatiaganj
Bihar,BI,West Chambaran,51,10038,Ramnagar
Chandigarh,CH,Chandigarh,1,44,Chandigarh (F&V)
Chandigarh,CH,Chandigarh,1,43,Chandigarh(Grain/Fruit)
Chattisgarh,CG,Balod,52,429,Balod
Chattisgarh,CG,Balod,52,4040,Dondi
Chattisgarh,CG,Balod,52,4039,Dondilohara
Chattisgarh,CG,Balod,52,4041,Gurur
Chattisgarh,CG,Balodabazar,50,2747,Balodabazar
Chattisgarh,CG,Balodabazar,50,426,Bhatapara
Chattisgarh,CG,Balodabazar,50,2746,Bhatgaon
Chattisgarh,CG,Balodabazar,50,2399,Kasdol
Chattisgarh,CG,Balodabazar,50,4005,Palari
Chattisgarh,CG,Balodabazar,50,4006,Pangaon
Chattisgarh,CG,Balodabazar,50,4009,Sarsiwan
